Job ID,Job Title,Department,Job Category,Job Subcategory,Education Requirement,Certification Required,Experience Level,Fellowship Required,Key Skills,Tools Used,Work Setting,Job Description,Growth Outlook,Minimum salary,Maximum salary, 
ED-001,Emergency Medicine Physician,Emergency,Clinical,Attending Physician,MD/DO,"ABEM, ACLS, PALS, ATLS",Senior,No,"Trauma management, Critical care, Resuscitation, Diagnostic decision-making","Ultrasound, Intubation equipment, Defibrillator, EMR systems",Emergency Department,Provide comprehensive emergency medical care to patients of all ages with acute injuries and illnesses. Lead resuscitation efforts and coordinate patient care.,High,280000,380000, 
ED-002,Emergency Medicine Resident,Emergency,Clinical,Resident Physician,MD/DO,"ACLS, PALS, BLS",Junior,No,"Clinical assessment, Procedural skills, Patient communication, Medical documentation","Stethoscope, Otoscope, Suture kits, Point-of-care ultrasound",Emergency Department,Provide supervised emergency medical care while completing residency training. Develop skills in emergency medicine under attending supervision.,High,55000,65000, 
ED-003,Emergency Nurse Practitioner,Emergency,Clinical,Advanced Practice Nurse,MSN,"ACLS, PALS, BLS, CEN",Mid-Level,No,"Clinical assessment, Diagnostic interpretation, Patient education, Medication management","Ultrasound, Suture materials, IV equipment, EMR systems",Emergency Department,"Provide advanced nursing care for emergency patients, including assessment, diagnosis, and treatment of acute conditions.",High,95000,130000, 
ED-004,Emergency Department Registered Nurse,Emergency,Clinical,Staff Nurse,BSN/ADN,"ACLS, PALS, BLS, CEN preferred",Mid-Level,No,"Patient assessment, Medication administration, IV therapy, Wound care","IV pumps, Cardiac monitors, Defibrillators, EMR systems",Emergency Department,"Provide direct patient care in emergency settings, including triage, monitoring, and supporting physicians in procedures.",High,65000,85000, 
ED-005,Trauma Nurse,Emergency,Clinical,Specialized Nurse,BSN,"TNCC, ACLS, PALS, BLS",Senior,No,"Trauma assessment, Rapid response, Critical thinking, Multi-system injury care","Trauma bay equipment, Intubation supplies, Blood products, Ultrasound",Trauma Bay/Emergency Department,"Specialize in caring for patients with traumatic injuries, coordinating rapid assessment and stabilization efforts.",High,70000,95000, 
ED-006,Physician Assistant - Emergency Medicine,Emergency,Clinical,Physician Assistant,Master in PA Studies,"NCCPA, ACLS, PALS, BLS",Mid-Level,No,"Clinical diagnosis, Procedural skills, Patient management, Emergency protocols","Ultrasound, Suture kits, Splinting materials, EMR systems",Emergency Department,"Provide emergency medical care under physician supervision, including evaluation, diagnosis, and treatment of emergency conditions.",High,105000,140000, 
ED-007,Triage Nurse,Emergency,Clinical,Triage Specialist,BSN/ADN,"ACLS, BLS, CEN",Mid-Level,No,"Patient prioritization, Rapid assessment, Communication, ESI protocol","Triage software, Vital signs monitors, EMR systems, Emergency Severity Index tools",Emergency Department Triage,Assess and prioritize incoming patients based on severity of condition using established triage protocols.,High,68000,88000, 
ED-008,Emergency Medical Technician (EMT),Emergency,Support,Emergency Medical Services,EMT Certificate,"NREMT, CPR, BLS",Junior,No,"Basic life support, Patient transport, Vital signs, Emergency response","Ambulance equipment, Oxygen delivery systems, Backboards, AED",Ambulance/Emergency Department,Provide basic emergency medical care and transport patients to emergency facilities.,High,35000,45000, 
ED-009,Paramedic,Emergency,Support,Advanced Emergency Medical Services,Paramedic Certificate,"NREMT-P, ACLS, PALS",Mid-Level,No,"Advanced life support, Medication administration, Intubation, Cardiac monitoring","Advanced life support equipment, Defibrillators, IV pumps, Intubation supplies",Ambulance/Emergency Department,Provide advanced emergency medical care in pre-hospital and emergency department settings.,High,45000,65000, 
ED-010,Emergency Department Technician,Emergency,Support,Patient Care Technician,High School/Certificate,"BLS, CNA preferred",Junior,No,"Patient care assistance, Vital signs, Equipment maintenance, Specimen collection","Vital signs monitors, EKG machines, Phlebotomy supplies, Basic medical equipment",Emergency Department,Assist clinical staff with patient care activities and maintain emergency department equipment.,Moderate,32000,42000, 
